user,item,weekday,isweekend,cost,weather,country,city,timeofday
0,0,6,1,0,0,0,0,1
1,0,6,1,0,2,5,0,1
2,0,6,1,0,1,11,454,2
3,0,2,0,0,1,8,799,2
4,0,1,0,0,1,54,1083,1
5,0,4,0,0,3,8,799,1
6,0,5,1,0,1,6,400,2
7,0,3,0,0,1,8,799,2
8,0,2,0,0,3,0,0,3
9,0,6,1,0,4,6,401,3
9,0,5,1,0,1,6,402,3
10,0,3,0,0,1,0,1028,4
5,0,1,0,0,3,8,799,1
11,0,5,1,0,1,0,0,1
12,0,1,0,0,1,9,0,1
13,0,3,0,0,2,1,369,1
14,0,5,1,0,1,3,505,4
12,0,4,0,0,1,9,661,2
15,0,6,1,0,0,7,410,1
7,0,3,0,0,3,8,799,1
9,0,1,0,0,0,6,401,2
12,0,2,0,0,5,9,661,2
7,0,6,1,0,1,8,799,3
16,0,4,0,0,1,19,0,1
17,0,2,0,0,1,4,129,1
17,0,2,0,0,1,4,129,1
8,0,2,0,0,1,0,0,3
3,0,5,1,0,3,8,799,5
18,0,2,0,0,1,41,0,2
12,0,1,0,0,0,9,661,2
19,0,3,0,0,1,6,401,1
5,0,1,0,0,1,8,799,1
20,0,6,1,0,1,8,799,4
8,0,4,0,0,1,0,0,3
21,0,0,0,0,1,9,661,1
22,0,3,0,0,2,5,0,3
23,0,2,0,0,0,0,0,2
17,0,4,1,0,0,4,0,4
24,0,6,1,0,1,32,677,2
9,0,1,0,0,0,6,401,4
8,0,5,1,0,0,0,0,5
11,0,5,1,0,1,0,0,0
16,0,4,0,0,4,19,0,2
6,0,4,1,0,1,6,400,5
3,0,1,0,0,1,8,799,5
25,0,4,0,0,3,18,25,1
26,0,4,0,0,3,6,401,2
12,0,3,0,0,1,9,661,2
15,0,3,0,0,1,7,410,1
23,0,1,0,0,1,0,0,3
23,0,1,0,0,1,0,0,3
12,0,3,0,0,1,9,661,3
12,0,3,0,0,1,9,661,3
10,0,5,1,0,3,0,0,3
2,0,0,0,0,1,11,454,2
9,0,5,1,0,4,6,401,2
12,0,5,1,0,1,9,661,3
27,0,4,0,0,0,0,1005,1
9,0,3,0,0,1,6,401,6
28,0,3,0,0,1,11,454,1
29,0,0,0,0,2,4,132,3
29,0,1,0,0,1,4,132,3
30,0,0,0,0,1,1,379,2
6,0,3,0,0,5,6,400,3
7,0,3,0,0,1,8,799,3
2,0,3,0,0,0,11,454,1
30,0,0,0,0,1,1,379,4
23,0,2,0,0,0,0,0,1
11,0,3,0,0,1,0,0,3
19,0,2,0,0,1,6,401,0
9,0,4,0,0,0,6,401,3
29,0,3,0,0,1,4,132,2
12,0,5,1,0,0,9,661,6
23,0,2,0,0,1,0,0,2
23,0,2,0,0,1,0,0,2
31,0,0,0,0,1,8,799,1
29,0,1,0,0,0,4,132,1
12,0,4,0,0,1,9,661,1
17,0,4,0,0,4,4,129,1
32,0,1,0,0,0,1,373,2
29,0,3,0,0,1,4,132,1
9,0,5,1,0,0,6,401,4
9,0,5,1,0,0,6,401,4
26,0,3,0,0,1,23,349,3
18,0,4,0,0,5,41,0,6
3,0,1,0,0,3,8,799,1
7,0,3,0,0,3,8,799,2
11,0,5,1,0,0,0,0,0
9,0,5,1,0,3,6,401,4
16,0,5,1,0,4,19,0,1
3,0,5,1,0,1,8,799,5
17,0,4,0,0,3,4,129,1
33,0,1,0,0,1,48,1065,1
34,0,4,1,0,0,0,1012,4
30,0,0,0,0,1,1,379,3
27,0,2,0,0,0,0,1005,3
14,0,6,1,0,0,3,505,3
35,0,3,0,0,1,1,369,1
32,0,2,0,0,0,1,0,1
2,0,2,0,0,0,11,454,1
26,0,2,0,0,0,11,454,5
1,0,6,1,0,2,5,0,2
15,0,6,1,0,2,7,410,6
11,0,1,0,0,1,0,0,1
17,0,4,0,0,0,4,129,1
6,0,4,0,0,1,6,400,1
8,0,4,1,0,0,0,0,5
9,0,6,1,0,5,6,401,3
2,0,1,0,0,1,11,454,3
23,0,5,1,0,1,0,0,1
27,0,4,0,0,3,0,1005,1
9,0,3,0,0,1,6,401,1
3,0,1,0,0,3,8,799,3
3,0,1,0,0,1,8,799,1
26,0,0,0,0,1,6,401,1
12,0,1,0,0,0,9,661,3
13,0,3,0,0,0,1,369,1
9,0,6,1,0,1,6,401,3
9,0,0,0,0,3,6,401,3
16,0,1,0,0,1,19,0,1
9,0,0,0,0,5,6,401,3
26,0,3,0,0,3,55,0,2
1,0,5,1,0,2,5,0,3
18,0,2,0,0,5,41,0,2
15,0,0,0,0,0,7,410,1
35,0,4,0,0,1,1,369,2
35,0,4,0,0,1,1,369,2
36,0,3,0,0,1,0,999,0
11,0,4,1,0,0,0,0,5
23,0,6,1,0,1,0,0,4
37,0,0,0,0,1,10,0,1
32,0,4,0,0,0,1,373,3
6,0,0,0,0,1,6,400,1
31,0,2,0,0,1,8,799,1
2,0,6,1,0,0,11,454,1
3,0,4,0,0,1,8,799,1
15,0,2,0,0,0,7,410,1
29,0,6,1,0,4,4,132,1
10,0,6,1,0,0,0,0,1
38,0,4,1,0,1,1,379,4
10,0,5,1,0,1,0,0,3
26,0,6,1,0,0,11,454,2
17,0,3,0,0,1,4,135,2
29,0,0,0,0,1,4,132,2
16,0,2,0,0,1,19,0,1
6,0,3,0,0,5,6,400,1
12,0,4,0,0,0,9,661,1
13,0,4,0,0,1,1,369,1
2,0,0,0,0,0,11,454,1
27,0,4,1,0,1,0,1005,5
1,0,5,1,0,2,5,0,1
39,0,6,1,0,1,8,799,3
11,0,4,0,0,0,0,0,3
40,0,6,1,0,0,0,0,4
9,0,1,0,0,0,6,401,6
25,0,5,1,0,3,18,25,3
23,0,1,0,0,0,0,0,3
14,0,1,0,0,1,3,505,5
17,0,3,0,0,5,4,135,5
18,0,4,0,0,5,41,0,3
10,0,5,1,0,5,0,0,3
5,0,3,0,0,1,8,799,1
11,0,1,0,0,0,0,0,1
9,0,5,1,0,1,6,401,3
41,0,6,1,0,1,0,994,6
42,0,2,0,0,5,0,1051,1
14,0,3,0,0,1,3,505,1
30,0,0,0,0,1,1,379,1
43,0,5,1,0,0,6,401,4
25,0,3,0,0,1,18,25,1
8,0,3,0,0,1,0,0,3
44,0,5,1,0,1,0,0,6
34,0,4,1,0,1,0,1012,4
6,0,0,0,0,1,6,400,5
32,0,3,0,0,0,1,373,1
3,0,5,1,0,1,8,799,4
17,0,2,0,0,2,4,0,4
19,0,0,0,0,1,6,401,1
19,0,0,0,0,1,6,401,1
3,0,3,0,0,3,8,799,1
12,0,1,0,0,5,9,0,1
9,0,5,1,0,5,6,401,3
12,0,2,0,0,1,9,661,4
8,0,5,1,0,0,0,0,4
16,0,0,0,0,1,19,0,2
30,0,3,0,0,1,1,379,1
9,0,4,1,0,4,6,401,4
29,0,0,0,0,0,4,132,2
8,0,3,0,0,0,0,0,3
31,0,0,0,0,3,8,799,1
15,0,5,1,0,2,7,410,4
16,0,3,0,0,1,19,0,4
45,0,3,0,0,0,14,453,1
25,0,4,0,0,0,18,25,1
37,0,2,0,0,1,10,0,1
25,0,4,0,0,2,18,25,1
9,0,5,1,0,1,6,401,2
9,0,5,1,0,1,6,401,2
6,0,0,0,0,0,6,400,2
28,0,0,0,0,0,11,454,1
27,0,3,0,0,0,0,1005,3
23,0,4,0,0,1,0,0,3
5,0,0,0,0,1,8,799,1
25,0,3,0,0,1,18,25,4
15,0,5,1,0,2,7,410,5
15,0,6,1,0,0,7,0,1
1,0,0,0,0,2,5,0,1
35,0,0,0,0,1,1,369,3
5,0,3,0,0,1,8,799,3
3,0,3,0,0,1,8,799,1
5,0,6,1,0,3,8,799,1
5,0,3,0,0,3,8,799,1
46,0,0,0,0,0,9,661,3
14,0,4,0,0,1,3,505,1
37,0,0,0,0,0,10,0,1
36,0,3,0,0,1,0,999,6
14,0,4,0,0,0,3,505,1
18,0,5,1,0,5,41,0,3
9,0,0,0,0,1,6,401,6
45,0,3,0,0,2,14,453,1
10,0,5,1,0,1,0,0,2
47,0,3,0,0,5,12,0,1
23,0,4,0,0,0,0,0,3
29,0,0,0,0,1,4,132,5
3,0,5,1,0,3,8,799,1
10,0,3,0,0,3,0,1028,4
3,0,4,0,0,1,8,799,3
48,0,2,0,0,1,6,0,2
13,0,3,0,0,1,1,369,1
5,0,6,1,0,1,8,799,1
41,0,6,1,0,0,0,994,1
36,0,1,0,0,0,0,999,3
9,0,5,1,0,4,6,401,4
12,0,1,0,0,4,9,0,4
6,0,4,0,0,1,6,400,3
9,0,4,0,0,1,6,401,3
29,0,2,0,0,1,4,132,5
18,0,3,0,0,1,41,0,1
3,0,2,0,0,1,8,799,1
49,0,6,1,0,0,31,151,4
25,0,1,0,0,0,18,25,6
25,0,5,1,0,1,18,25,0
17,0,1,0,0,1,4,129,1
17,0,1,0,0,1,4,129,1
23,0,5,1,0,0,0,0,1
29,0,0,0,0,1,4,132,4
37,0,2,0,0,0,10,0,1
25,0,3,0,0,2,18,25,1
3,0,2,0,0,3,8,799,1
3,0,4,0,0,3,8,799,6
35,0,3,0,0,2,1,369,1
17,0,4,0,0,1,4,129,1
18,0,0,0,0,5,41,0,5
18,0,2,0,0,1,41,0,6
11,0,4,1,0,1,0,0,4
25,0,4,0,0,3,18,25,0
9,0,5,1,0,5,6,402,3
15,0,1,0,0,0,7,410,2
18,0,4,0,0,2,41,0,6
50,0,0,0,0,0,9,661,3
25,0,4,1,0,1,18,25,4
7,0,2,0,0,3,8,799,1
51,0,0,0,0,7,6,401,1
6,0,6,1,0,1,6,400,4
15,0,6,1,0,1,7,0,1
26,0,6,1,0,1,6,401,2
