user,item,weekday,isweekend,cost,weather,country,city,timeofday
409,114,6,1,0,1,0,0,3
57,17,0,0,0,0,28,879,1
346,22,6,1,0,0,6,394,5
66,8,2,0,0,0,1,378,0
210,98,5,1,0,0,2,147,3
309,13,5,1,0,5,0,1000,1
241,13,4,0,0,1,16,713,2
26,32,0,0,0,1,11,454,3
48,30,0,0,0,1,6,0,1
2,18,1,0,0,1,11,454,1
526,76,2,0,0,2,5,0,6
109,36,0,0,0,0,15,356,2
487,226,2,0,0,2,0,0,2
341,22,0,0,0,2,5,0,3
111,776,2,0,0,3,8,802,1
412,88,1,0,0,1,0,0,4
138,618,4,0,0,1,17,0,0
415,247,5,1,0,1,0,0,0
311,21,3,0,0,2,5,0,6
65,94,2,0,0,0,1,369,4
105,4,6,1,0,3,16,724,4
287,4,6,1,0,0,3,541,5
17,22,3,0,0,0,4,129,5
232,18,5,1,0,1,6,0,1
158,22,5,1,0,0,52,0,6
39,4,3,0,0,3,8,799,1
119,95,6,1,0,0,1,0,6
220,18,4,0,0,0,3,535,2
27,22,3,0,0,1,0,0,4
3,0,2,0,0,3,8,799,2
21,497,0,0,0,0,9,661,2
169,138,1,0,1,1,19,333,4
16,97,2,0,0,1,19,0,4
309,18,0,0,0,5,0,1000,0
418,707,0,0,0,1,0,1004,4
248,10,3,0,0,0,6,0,3
29,426,5,1,0,4,4,132,6
243,14,5,1,0,1,1,369,4
177,291,1,0,0,1,1,369,2
262,53,6,1,0,1,30,970,5
210,126,2,0,0,1,2,147,1
87,32,2,0,0,0,1,373,2
68,279,4,0,0,1,1,369,1
225,88,0,0,0,0,18,0,5
2,466,0,0,0,1,11,454,4
84,88,1,0,0,1,1,369,2
109,37,3,0,0,1,15,356,3
506,17,1,0,0,0,67,0,4
410,18,1,0,0,1,0,0,3
105,89,2,0,0,1,16,713,3
86,8,6,1,0,1,1,369,1
487,226,2,0,0,4,0,0,1
16,173,2,0,0,2,19,0,0
502,28,3,0,0,2,5,0,5
137,50,0,0,0,5,24,321,4
67,84,5,1,0,0,1,369,1
162,4,2,0,0,1,1,369,3
222,4,3,0,0,1,0,1048,1
23,73,1,0,0,1,0,0,1
409,184,4,1,0,1,0,0,4
30,18,1,0,0,1,1,379,1
158,91,5,1,0,0,52,0,4
377,14,6,1,0,1,6,402,3
98,51,1,0,0,3,0,0,4
155,23,2,0,0,2,5,0,6
149,104,4,0,1,1,1,369,2
176,18,5,1,0,0,1,373,1
25,22,5,1,0,2,5,0,1
426,37,0,0,0,0,6,390,4
72,13,5,1,0,6,26,0,4
40,181,6,1,0,0,0,0,2
316,22,0,0,0,0,0,0,0
74,14,6,1,0,3,4,0,1
206,23,0,0,0,5,0,0,4
225,14,5,1,0,0,18,0,3
318,12,1,0,1,0,18,30,4
262,64,0,0,0,1,30,970,1
42,22,2,0,0,0,0,1051,4
166,22,2,0,0,0,0,0,5
268,14,2,0,0,2,5,0,3
39,116,6,1,0,1,8,799,3
426,37,4,0,0,1,6,390,6
332,23,5,1,0,0,0,0,6
37,88,2,0,0,0,10,0,2
487,22,2,0,0,0,0,0,6
124,13,4,1,0,1,22,251,5
351,604,4,0,0,1,36,0,2
470,471,0,0,0,0,0,0,2
309,11,3,0,0,1,0,1000,4
311,18,3,0,0,0,0,0,4
102,30,5,1,0,1,16,694,6
484,58,5,1,0,0,0,0,4
265,216,1,0,0,2,5,0,5
106,2,6,1,0,2,5,0,6
302,520,1,0,0,2,5,0,1
37,91,1,0,0,0,10,0,1
87,10,1,0,0,0,1,373,2
436,114,6,1,0,1,0,0,1
58,113,3,0,0,1,8,799,6
138,52,0,0,0,1,17,0,2
55,127,6,1,0,2,8,793,3
265,133,0,0,0,2,5,0,4
169,138,2,0,1,5,19,333,6
313,60,1,0,0,5,0,1003,1
341,194,4,1,1,0,0,999,4
181,414,0,0,0,1,1,369,1
186,41,0,0,0,1,0,0,6
248,10,3,0,0,0,6,0,1
465,40,3,0,0,4,4,0,5
9,13,1,0,0,0,6,401,4
13,77,4,0,0,0,1,369,1
10,150,3,0,1,3,0,1028,1
95,18,0,0,0,1,0,0,6
22,746,2,0,0,2,5,0,4
190,4,0,0,0,4,5,0,5
85,246,6,1,0,0,0,0,6
62,13,6,1,0,2,0,0,1
82,13,0,0,0,0,0,1028,4
330,13,3,0,0,1,0,0,6
71,241,4,0,0,2,20,23,6
323,162,2,0,0,1,1,0,3
169,22,4,0,0,1,19,0,0
332,13,0,0,0,1,0,0,0
176,14,1,0,0,1,1,373,4
163,246,6,1,0,0,16,0,4
164,126,2,0,0,1,8,799,3
35,4,2,0,0,1,1,369,3
348,694,5,1,0,0,30,972,3
412,189,0,0,0,2,0,0,1
83,14,0,0,0,5,4,128,6
275,30,4,0,0,1,1,369,6
342,224,2,0,0,1,52,386,5
88,14,3,0,0,0,4,135,1
358,615,6,1,0,1,4,133,1
412,69,0,0,0,5,0,0,2
369,18,4,0,0,0,44,419,2
333,89,5,1,0,2,0,0,6
332,13,4,1,0,5,0,0,4
323,22,5,1,0,1,1,0,1
502,36,3,0,0,2,5,0,2
56,209,3,0,0,3,8,799,1
30,24,0,0,0,1,1,379,1
318,630,5,1,0,2,18,0,4
428,152,3,0,0,5,39,452,1
221,208,2,0,0,2,5,0,3
330,13,2,0,0,0,0,0,4
44,226,1,0,0,1,0,0,2
183,69,3,0,0,2,1,369,5
104,179,6,1,0,1,3,514,1
26,18,6,1,0,1,6,401,5
88,493,5,1,0,3,4,135,6
224,727,5,1,0,1,1,369,1
490,166,4,0,0,5,10,842,3
345,58,1,0,0,1,10,0,4
106,10,1,0,0,0,1,369,0
6,14,4,0,0,1,6,400,1
216,4,6,1,0,1,1,0,4
202,36,6,1,0,0,18,30,0
166,141,6,1,0,0,0,0,6
146,159,4,1,0,1,39,452,4
12,658,1,0,0,5,9,661,4
309,18,5,1,0,5,0,1003,3
225,4,1,0,0,0,18,0,2
76,18,0,0,0,1,17,786,5
219,4,6,1,0,1,1,0,3
193,15,4,0,0,1,9,0,3
223,155,0,0,0,1,1,369,5
332,25,4,1,0,0,0,0,4
186,707,5,1,0,4,0,1012,4
65,14,2,0,0,0,1,369,6
190,126,3,0,0,4,5,0,4
9,13,0,0,0,3,6,401,2
210,18,3,0,0,2,2,147,3
215,18,0,0,0,0,1,0,2
65,516,4,0,0,1,1,369,2
98,2,0,0,0,1,0,0,2
413,784,4,0,0,4,38,649,1
183,4,4,0,0,1,1,369,3
222,22,1,0,0,4,0,1048,3
339,42,1,0,0,0,0,1022,4
403,751,3,0,0,1,0,0,2
425,25,0,0,0,1,0,1002,4
412,49,4,1,0,3,0,0,4
507,547,6,1,0,5,0,1022,3
202,36,4,0,0,0,43,432,6
81,14,2,0,0,1,0,0,4
87,32,3,0,0,2,5,0,4
127,77,2,0,0,0,0,0,6
92,449,6,1,0,2,5,0,4
180,13,3,0,0,1,0,0,3
211,58,5,1,0,1,1,369,3
540,287,0,0,0,0,0,0,4
10,88,5,1,0,0,0,0,4
300,22,2,0,0,1,0,0,6
106,4,4,1,0,1,1,369,4
443,13,2,0,0,1,6,0,4
5,8,3,0,0,3,8,799,1
180,49,1,0,0,2,0,0,1
417,217,0,0,0,2,5,0,4
428,713,1,0,0,1,39,452,1
46,4,1,0,0,1,1,369,4
167,4,4,0,0,2,1,369,3
244,13,4,1,0,0,46,360,4
179,690,2,0,1,1,1,374,1
206,170,0,0,0,5,0,0,4
443,199,0,0,0,1,6,0,6
31,30,3,0,0,3,8,799,0
247,229,4,0,0,0,19,0,0
272,26,0,0,0,3,6,0,3
169,22,0,0,0,1,19,333,1
217,4,0,0,0,1,1,369,0
178,152,2,0,0,3,8,799,0
29,426,4,1,0,3,4,132,4
137,50,3,0,0,0,24,321,1
84,18,0,0,0,1,1,369,2
111,617,1,0,0,3,8,802,2
348,553,1,0,0,2,30,972,3
168,64,0,0,0,1,8,799,3
68,816,3,0,0,1,1,369,2
474,609,6,1,0,3,8,799,3
21,112,0,0,0,1,9,661,1
106,22,0,0,0,1,1,369,5
386,460,5,1,0,0,0,0,1
418,41,0,0,0,1,0,1004,4
88,14,4,0,0,0,4,135,2
57,630,5,1,0,0,28,879,6
340,100,2,0,0,0,0,0,5
344,14,4,0,0,0,0,0,2
39,431,6,1,1,1,8,799,3
169,22,6,1,0,1,19,333,2
324,13,1,0,0,4,37,789,6
101,88,6,1,0,1,11,454,3
115,62,6,1,0,1,8,799,3
309,120,4,0,0,1,0,1000,3
98,2,5,1,0,1,0,1013,4
118,22,2,0,0,1,16,712,6
311,41,4,1,0,1,0,0,4
149,368,6,1,1,1,1,369,5
238,8,3,0,0,1,17,784,3
176,13,4,0,0,0,1,373,0
49,89,1,0,0,0,31,151,4
389,445,6,1,0,0,12,0,6
241,179,6,1,0,1,16,724,4
289,462,6,1,0,2,5,0,0
320,119,4,1,0,2,5,0,4
92,14,0,0,0,0,13,0,3
328,14,5,1,0,5,0,1051,1
58,58,3,0,0,1,8,799,5
311,346,1,0,1,0,0,0,6
196,30,1,0,0,1,0,1027,1
363,69,0,0,0,0,0,0,3
210,98,2,0,0,1,2,147,5
65,14,4,0,0,0,1,369,1
427,13,0,0,0,0,0,0,3
66,271,2,0,0,1,1,378,4
331,194,5,1,1,1,6,0,4
264,133,0,0,0,0,19,0,2
